gene	tumor	value	sample
PKHD1	TCGA-76-4932-01A-01D-1486-08	0	GBM-76-4932
TTN	TCGA-76-4932-01A-01D-1486-08	0	GBM-76-4932
MUC17	TCGA-76-4932-01A-01D-1486-08	0	GBM-76-4932
IDH1	TCGA-76-4932-01A-01D-1486-08	0	GBM-76-4932
TP53	TCGA-76-4932-01A-01D-1486-08	0	GBM-76-4932
AHNAK2	TCGA-76-4932-01A-01D-1486-08	0	GBM-76-4932
RB1	TCGA-76-4932-01A-01D-1486-08	0	GBM-76-4932
SYNE1	TCGA-76-4932-01A-01D-1486-08	0	GBM-76-4932
RYR3	TCGA-76-4932-01A-01D-1486-08	0	GBM-76-4932
RYR2	TCGA-76-4932-01A-01D-1486-08	0	GBM-76-4932
PCLO	TCGA-76-4934-01A-01D-1486-08	0	GBM-76-4934
GPR98	TCGA-76-4934-01A-01D-1486-08	0	GBM-76-4934
OBSCN	TCGA-76-4934-01A-01D-1486-08	0	GBM-76-4934
PTEN	TCGA-76-4934-01A-01D-1486-08	3	GBM-76-4934
APOB	TCGA-76-4934-01A-01D-1486-08	0	GBM-76-4934
FRAS1	TCGA-76-4934-01A-01D-1486-08	0	GBM-76-4934
SPTA1	TCGA-76-4934-01A-01D-1486-08	0	GBM-76-4934
PIK3CA	TCGA-76-4934-01A-01D-1486-08	0	GBM-76-4934
HMCN1	TCGA-76-4934-01A-01D-1486-08	0	GBM-76-4934
EGFR	TCGA-76-4934-01A-01D-1486-08	0	GBM-76-4934
Unknown	TCGA-76-4934-01A-01D-1486-08	3	GBM-76-4934
LRP2	TCGA-76-4934-01A-01D-1486-08	0	GBM-76-4934
PIK3R1	TCGA-76-4934-01A-01D-1486-08	0	GBM-76-4934
RELN	TCGA-76-4934-01A-01D-1486-08	0	GBM-76-4934
USH2A	TCGA-76-4934-01A-01D-1486-08	0	GBM-76-4934
MUC16	TCGA-76-4934-01A-01D-1486-08	0	GBM-76-4934
NF1	TCGA-76-4934-01A-01D-1486-08	0	GBM-76-4934
DNAH5	TCGA-76-4934-01A-01D-1486-08	0	GBM-76-4934
ATRX	TCGA-76-4934-01A-01D-1486-08	0	GBM-76-4934
FLG	TCGA-76-4934-01A-01D-1486-08	0	GBM-76-4934
PKHD1	TCGA-76-4934-01A-01D-1486-08	0	GBM-76-4934
TTN	TCGA-76-4934-01A-01D-1486-08	0	GBM-76-4934
MUC17	TCGA-76-4934-01A-01D-1486-08	0	GBM-76-4934
IDH1	TCGA-76-4934-01A-01D-1486-08	0	GBM-76-4934
TP53	TCGA-76-4934-01A-01D-1486-08	3	GBM-76-4934
AHNAK2	TCGA-76-4934-01A-01D-1486-08	0	GBM-76-4934
RB1	TCGA-76-4934-01A-01D-1486-08	0	GBM-76-4934
SYNE1	TCGA-76-4934-01A-01D-1486-08	0	GBM-76-4934
RYR3	TCGA-76-4934-01A-01D-1486-08	0	GBM-76-4934
RYR2	TCGA-76-4934-01A-01D-1486-08	0	GBM-76-4934
PCLO	TCGA-32-4209-01A-01D-1353-08	0	GBM-32-4209
GPR98	TCGA-32-4209-01A-01D-1353-08	0	GBM-32-4209
OBSCN	TCGA-32-4209-01A-01D-1353-08	0	GBM-32-4209
PTEN	TCGA-32-4209-01A-01D-1353-08	0	GBM-32-4209
APOB	TCGA-32-4209-01A-01D-1353-08	0	GBM-32-4209
FRAS1	TCGA-32-4209-01A-01D-1353-08	0	GBM-32-4209
SPTA1	TCGA-32-4209-01A-01D-1353-08	0	GBM-32-4209
PIK3CA	TCGA-32-4209-01A-01D-1353-08	0	GBM-32-4209
HMCN1	TCGA-32-4209-01A-01D-1353-08	0	GBM-32-4209
EGFR	TCGA-32-4209-01A-01D-1353-08	0	GBM-32-4209
Unknown	TCGA-32-4209-01A-01D-1353-08	0	GBM-32-4209
LRP2	TCGA-32-4209-01A-01D-1353-08	0	GBM-32-4209
PIK3R1	TCGA-32-4209-01A-01D-1353-08	0	GBM-32-4209
RELN	TCGA-32-4209-01A-01D-1353-08	0	GBM-32-4209
USH2A	TCGA-32-4209-01A-01D-1353-08	0	GBM-32-4209
MUC16	TCGA-32-4209-01A-01D-1353-08	0	GBM-32-4209
NF1	TCGA-32-4209-01A-01D-1353-08	0	GBM-32-4209
DNAH5	TCGA-32-4209-01A-01D-1353-08	0	GBM-32-4209
ATRX	TCGA-32-4209-01A-01D-1353-08	0	GBM-32-4209
FLG	TCGA-32-4209-01A-01D-1353-08	0	GBM-32-4209
PKHD1	TCGA-32-4209-01A-01D-1353-08	0	GBM-32-4209
TTN	TCGA-32-4209-01A-01D-1353-08	0	GBM-32-4209
MUC17	TCGA-32-4209-01A-01D-1353-08	0	GBM-32-4209
IDH1	TCGA-32-4209-01A-01D-1353-08	0	GBM-32-4209
TP53	TCGA-32-4209-01A-01D-1353-08	0	GBM-32-4209
AHNAK2	TCGA-32-4209-01A-01D-1353-08	0	GBM-32-4209
RB1	TCGA-32-4209-01A-01D-1353-08	0	GBM-32-4209
SYNE1	TCGA-32-4209-01A-01D-1353-08	0	GBM-32-4209
RYR3	TCGA-32-4209-01A-01D-1353-08	0	GBM-32-4209
RYR2	TCGA-32-4209-01A-01D-1353-08	0	GBM-32-4209
PCLO	TCGA-76-4925-01A-01D-1486-08	0	GBM-76-4925
GPR98	TCGA-76-4925-01A-01D-1486-08	0	GBM-76-4925
OBSCN	TCGA-76-4925-01A-01D-1486-08	0	GBM-76-4925
PTEN	TCGA-76-4925-01A-01D-1486-08	4	GBM-76-4925
APOB	TCGA-76-4925-01A-01D-1486-08	0	GBM-76-4925
FRAS1	TCGA-76-4925-01A-01D-1486-08	0	GBM-76-4925
SPTA1	TCGA-76-4925-01A-01D-1486-08	0	GBM-76-4925
PIK3CA	TCGA-76-4925-01A-01D-1486-08	0	GBM-76-4925
HMCN1	TCGA-76-4925-01A-01D-1486-08	0	GBM-76-4925
EGFR	TCGA-76-4925-01A-01D-1486-08	0	GBM-76-4925
Unknown	TCGA-76-4925-01A-01D-1486-08	0	GBM-76-4925
LRP2	TCGA-76-4925-01A-01D-1486-08	0	GBM-76-4925
PIK3R1	TCGA-76-4925-01A-01D-1486-08	0	GBM-76-4925
RELN	TCGA-76-4925-01A-01D-1486-08	0	GBM-76-4925
USH2A	TCGA-76-4925-01A-01D-1486-08	0	GBM-76-4925
MUC16	TCGA-76-4925-01A-01D-1486-08	0	GBM-76-4925
NF1	TCGA-76-4925-01A-01D-1486-08	0	GBM-76-4925
DNAH5	TCGA-76-4925-01A-01D-1486-08	0	GBM-76-4925
ATRX	TCGA-76-4925-01A-01D-1486-08	0	GBM-76-4925
FLG	TCGA-76-4925-01A-01D-1486-08	0	GBM-76-4925
PKHD1	TCGA-76-4925-01A-01D-1486-08	0	GBM-76-4925
TTN	TCGA-76-4925-01A-01D-1486-08	0	GBM-76-4925
MUC17	TCGA-76-4925-01A-01D-1486-08	0	GBM-76-4925
IDH1	TCGA-76-4925-01A-01D-1486-08	0	GBM-76-4925
TP53	TCGA-76-4925-01A-01D-1486-08	3	GBM-76-4925
AHNAK2	TCGA-76-4925-01A-01D-1486-08	0	GBM-76-4925
RB1	TCGA-76-4925-01A-01D-1486-08	0	GBM-76-4925
SYNE1	TCGA-76-4925-01A-01D-1486-08	0	GBM-76-4925
RYR3	TCGA-76-4925-01A-01D-1486-08	0	GBM-76-4925
RYR2	TCGA-76-4925-01A-01D-1486-08	0	GBM-76-4925
PCLO	TCGA-76-4927-01A-01D-1486-08	0	GBM-76-4927
GPR98	TCGA-76-4927-01A-01D-1486-08	0	GBM-76-4927
OBSCN	TCGA-76-4927-01A-01D-1486-08	0	GBM-76-4927
PTEN	TCGA-76-4927-01A-01D-1486-08	4	GBM-76-4927
APOB	TCGA-76-4927-01A-01D-1486-08	0	GBM-76-4927
FRAS1	TCGA-76-4927-01A-01D-1486-08	0	GBM-76-4927
SPTA1	TCGA-76-4927-01A-01D-1486-08	0	GBM-76-4927
PIK3CA	TCGA-76-4927-01A-01D-1486-08	0	GBM-76-4927
HMCN1	TCGA-76-4927-01A-01D-1486-08	0	GBM-76-4927
EGFR	TCGA-76-4927-01A-01D-1486-08	3	GBM-76-4927
Unknown	TCGA-76-4927-01A-01D-1486-08	0	GBM-76-4927
LRP2	TCGA-76-4927-01A-01D-1486-08	0	GBM-76-4927
PIK3R1	TCGA-76-4927-01A-01D-1486-08	4	GBM-76-4927
RELN	TCGA-76-4927-01A-01D-1486-08	0	GBM-76-4927
USH2A	TCGA-76-4927-01A-01D-1486-08	0	GBM-76-4927
MUC16	TCGA-76-4927-01A-01D-1486-08	0	GBM-76-4927
NF1	TCGA-76-4927-01A-01D-1486-08	0	GBM-76-4927
DNAH5	TCGA-76-4927-01A-01D-1486-08	0	GBM-76-4927
ATRX	TCGA-76-4927-01A-01D-1486-08	0	GBM-76-4927
FLG	TCGA-76-4927-01A-01D-1486-08	0	GBM-76-4927
PKHD1	TCGA-76-4927-01A-01D-1486-08	0	GBM-76-4927
TTN	TCGA-76-4927-01A-01D-1486-08	0	GBM-76-4927
MUC17	TCGA-76-4927-01A-01D-1486-08	0	GBM-76-4927
IDH1	TCGA-76-4927-01A-01D-1486-08	0	GBM-76-4927
TP53	TCGA-76-4927-01A-01D-1486-08	0	GBM-76-4927
AHNAK2	TCGA-76-4927-01A-01D-1486-08	0	GBM-76-4927
RB1	TCGA-76-4927-01A-01D-1486-08	0	GBM-76-4927
SYNE1	TCGA-76-4927-01A-01D-1486-08	0	GBM-76-4927
RYR3	TCGA-76-4927-01A-01D-1486-08	0	GBM-76-4927
RYR2	TCGA-76-4927-01A-01D-1486-08	0	GBM-76-4927
PCLO	TCGA-06-0158-01A-01D-1491-08	1	GBM-06-0158
GPR98	TCGA-06-0158-01A-01D-1491-08	0	GBM-06-0158
OBSCN	TCGA-06-0158-01A-01D-1491-08	0	GBM-06-0158
PTEN	TCGA-06-0158-01A-01D-1491-08	0	GBM-06-0158
APOB	TCGA-06-0158-01A-01D-1491-08	0	GBM-06-0158
FRAS1	TCGA-06-0158-01A-01D-1491-08	0	GBM-06-0158
SPTA1	TCGA-06-0158-01A-01D-1491-08	0	GBM-06-0158
PIK3CA	TCGA-06-0158-01A-01D-1491-08	0	GBM-06-0158
HMCN1	TCGA-06-0158-01A-01D-1491-08	0	GBM-06-0158
EGFR	TCGA-06-0158-01A-01D-1491-08	3	GBM-06-0158
Unknown	TCGA-06-0158-01A-01D-1491-08	3	GBM-06-0158
LRP2	TCGA-06-0158-01A-01D-1491-08	0	GBM-06-0158
PIK3R1	TCGA-06-0158-01A-01D-1491-08	0	GBM-06-0158
RELN	TCGA-06-0158-01A-01D-1491-08	0	GBM-06-0158
USH2A	TCGA-06-0158-01A-01D-1491-08	0	GBM-06-0158
